,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
273,Bathsheba,75,BB,1562800987,74,13.22,-59.52,84.2,17.22
274,Airai,73,TL,1562801001,64,-8.93,125.41,75.59,1.45
275,Maniitsoq,92,GL,1562801003,91,65.42,-52.9,41.21,4.36
276,Portland,1,US,1562800699,68,43.66,-70.25,75.2,4.7
277,Georgetown,75,GY,1562801005,78,6.8,-58.16,82.4,6.93
278,Ancud,40,CL,1562801006,100,-41.87,-73.83,46.4,10.29
279,Ahipara,0,NZ,1562800761,100,-35.17,173.16,60.01,8.63
280,Remedios,80,CO,1562801009,99,7.03,-74.7,66.41,1.43
281,Providencia,40,CO,1562801010,43,1.24,-77.6,71.6,4.7
282,Vestmannaeyjar,99,IS,1562801011,81,63.44,-20.27,52.73,12.53
283,Mayo,75,CA,1562801012,22,63.59,-135.9,80.6,3.36
284,Ust-Kut,7,RU,1562801014,54,56.78,105.75,73.07,2.75
285,Chabahar,59,IR,1562801015,75,25.29,60.65,83.51,8.16
286,Nanakuli,20,US,1562801016,46,21.39,-158.15,89.6,16.11
287,Huarmey,0,PE,1562801017,86,-10.07,-78.15,62.99,10.36
288,Anyksciai,36,LT,1562801018,97,55.53,25.1,49.67,6.33
289,Catemaco,75,MX,1562801020,79,18.42,-95.11,93.0,11.41
290,Broken Hill,0,AU,1562800925,81,-31.97,141.45,50.0,12.75
291,Zhezkazgan,0,KZ,1562800844,37,47.8,67.71,66.2,8.95
292,Lata,96,IN,1562801023,97,30.78,78.62,46.07,2.89
293,Nalut,0,LY,1562801024,67,31.86,10.98,77.03,13.13
294,Shimoda,75,JP,1562801026,73,34.7,138.93,72.0,8.05
295,Santo Estevao,13,BR,1562801027,90,-12.43,-39.25,65.33,5.35
296,Pecos,1,US,1562801028,11,31.42,-103.49,104.0,5.82
297,Barstow,1,US,1562800965,10,31.46,-103.39,105.8,5.82
298,Neiafu,75,TO,1562801030,88,-18.65,-173.98,78.8,3.36
299,Burnie,68,AU,1562801031,86,-41.05,145.91,50.0,8.01
300,Talnakh,0,RU,1562801033,81,69.49,88.39,44.6,11.18
301,Jati,100,PK,1562801034,69,24.35,68.27,84.77,22.06
302,Manono,15,CD,1562801035,40,-7.3,27.4,71.99,2.75
303,Paamiut,100,GL,1562801036,91,61.99,-49.67,43.19,4.09
304,Christchurch,83,NZ,1562800739,54,-43.53,172.64,61.0,6.93
305,Port Lincoln,87,AU,1562800783,77,-34.72,135.86,59.21,29.28
306,Srednekolymsk,47,RU,1562800781,24,67.46,153.71,83.33,7.16
307,Walvis Bay,0,NA,1562801041,93,-22.95,14.51,62.6,5.82
308,Vila Franca do Campo,20,PT,1562801042,82,37.72,-25.43,68.0,1.12
309,Hamilton,20,CA,1562800974,51,43.26,-79.87,84.2,9.17
310,Manaus,37,BR,1562801044,89,-3.13,-59.98,74.69,1.43
311,Gat,0,SN,1562801046,78,14.69,-16.54,75.2,9.17
312,Norden,75,DE,1562801047,93,53.59,7.21,57.99,5.82
313,Wewak,88,PG,1562801048,69,-3.55,143.63,81.53,2.95
314,Marsa Matruh,40,EG,1562801049,94,31.35,27.25,77.0,8.05
315,Beringovskiy,0,RU,1562801050,47,63.05,179.32,67.31,6.73
316,Kwinana,90,AU,1562800759,100,-32.25,115.77,54.0,4.7
317,Skrunda,77,LV,1562801053,100,56.68,22.02,50.0,3.87
318,Adolfo Lopez Mateos,0,MX,1562801054,34,26.8,-109.39,100.99,7.0
319,Henderson,1,US,1562801055,7,36.04,-114.98,106.0,12.75
320,Singaraja,16,ID,1562801057,66,-8.11,115.08,78.29,4.21
321,Pudozh,84,RU,1562801058,72,61.81,36.54,44.09,8.59
322,Tiarei,20,PF,1562801059,65,-17.53,-149.33,82.4,23.04
323,Isangel,75,VU,1562801060,69,-19.55,169.27,78.8,11.41
324,Bushehr,0,IR,1562801061,66,28.97,50.84,86.0,11.52
325,Chara,75,GR,1562801063,73,39.42,22.43,75.2,20.8
326,Copiapo,0,CL,1562801064,76,-27.37,-70.33,55.4,8.05
327,Lorengau,100,PG,1562801065,81,-2.02,147.27,80.27,14.07
328,Dargaville,0,NZ,1562801066,83,-35.94,173.86,58.67,11.86
329,Outjo,22,NA,1562801067,22,-20.11,16.16,59.0,2.24
330,Lar,0,IR,1562801069,41,27.66,54.32,77.39,1.83
331,Te Anau,54,NZ,1562801070,81,-45.41,167.72,46.79,1.63
332,Puerto Baquerizo Moreno,40,EC,1562801071,73,-0.9,-89.6,75.2,14.99
333,Kenai,20,US,1562801072,72,60.55,-151.26,64.99,12.75
334,Yabassi,75,CM,1562801074,100,4.46,9.97,75.2,2.21
335,Sainte-Rose,75,CA,1562801075,33,45.61,-73.79,86.0,5.82
336,Teguldet,0,RU,1562801076,77,57.31,88.17,55.61,6.06
337,Hay River,75,CA,1562801077,32,60.82,-115.79,69.8,5.82
338,Teseney,99,ER,1562801079,50,15.11,36.66,82.43,11.32
339,Sarahan,46,IN,1562801080,86,31.51,77.79,60.47,1.34
340,Seminole,1,US,1562801081,13,32.72,-102.64,102.2,9.17
341,Praya,20,ID,1562801082,100,-8.71,116.27,66.2,9.33
342,Mapiripan,13,CO,1562801083,86,2.89,-72.13,73.25,3.06
343,Norman Wells,75,CA,1562801085,33,65.28,-126.83,75.2,8.05
344,Lewistown,1,US,1562801086,45,40.39,-90.15,89.6,9.17
345,Bud,0,NO,1562801087,93,62.91,6.91,54.0,12.75
346,Laguna,40,BZ,1562801088,74,16.17,-88.94,87.8,6.93
347,Busca,21,IT,1562801090,68,44.52,7.47,75.99,2.13
348,Son La,100,VN,1562801091,98,21.32,103.9,69.11,1.9
349,Tiksi,55,RU,1562801092,74,71.64,128.87,52.01,12.28
350,Saint Anthony,1,US,1562801093,25,43.97,-111.68,87.8,4.7
351,Presidencia Roque Saenz Pena,13,AR,1562801094,70,-26.79,-60.44,68.39,7.27
352,Sinnamary,98,GF,1562800869,77,5.38,-52.96,81.35,9.91
353,Kerema,26,PG,1562801097,80,-7.96,145.78,77.57,12.48
354,Lompoc,1,US,1562800801,72,34.64,-120.46,82.99,14.99
355,Klamath Falls,1,US,1562800961,30,42.22,-121.78,84.0,10.29
356,Bubaque,100,GW,1562801100,82,11.28,-15.83,80.45,13.8
357,Ocean City,75,US,1562801102,83,30.44,-86.61,84.99,7.58
358,Adrar,0,DZ,1562801103,13,27.87,-0.29,100.4,8.05
359,San Policarpo,79,PH,1562801104,85,12.18,125.51,80.63,3.15
360,Hongjiang,99,CN,1562801105,85,27.21,109.83,71.99,1.63
361,Sorland,0,NO,1562801107,85,67.67,12.69,50.21,20.78
362,Dingli,0,IN,1562801108,50,28.39,75.51,90.35,23.29
363,Serenje,40,ZM,1562801109,72,-13.23,30.22,49.13,5.66
364,Rojhan,0,PK,1562801110,60,28.69,69.95,84.59,6.4
365,Beloslav,40,BG,1562801112,77,43.19,27.7,62.6,9.17
366,Chahal,100,GT,1562801113,80,15.75,-89.57,83.33,4.97
367,Chapais,75,CA,1562801114,47,49.78,-74.86,75.2,6.93
368,Myaundzha,79,RU,1562801115,67,63.05,147.18,64.61,0.83
369,Umm Lajj,0,SA,1562801116,76,25.02,37.27,84.05,10.33
370,Tual,86,ID,1562801118,79,-5.67,132.75,77.93,20.18
371,Mitsamiouli,40,KM,1562801119,74,-11.38,43.28,77.21,26.87
372,Sorong,100,ID,1562801120,95,-0.86,131.25,73.43,6.11
373,Fresno,1,US,1562801121,23,36.74,-119.78,98.01,12.75
374,Nome,1,US,1562801123,56,30.04,-94.42,96.01,2.89
375,Natal,75,BR,1562801124,88,-5.81,-35.21,77.0,3.36
376,Krasnyye Baki,100,RU,1562801125,98,57.13,45.16,50.57,5.82
377,Samana,20,EC,1562801126,51,0.12,-76.97,86.0,4.7
378,Verkhnetulomskiy,75,RU,1562801128,80,68.61,31.8,41.0,6.71
379,Inirida,10,CO,1562801129,98,3.87,-67.92,72.53,2.26
380,Coahuayana,51,MX,1562801130,74,18.62,-100.35,83.33,1.77
381,Aklavik,75,CA,1562801131,71,68.22,-135.01,60.8,13.87
382,Vao,96,EE,1562801133,85,59.1,26.19,52.91,3.47
383,Presidente Medici,0,BR,1562800972,51,-11.18,-61.9,76.31,2.26
384,Torbay,90,CA,1562800841,93,47.66,-52.73,48.99,5.82
385,Grand Forks,20,US,1562801136,57,47.91,-97.06,77.0,17.22
386,Yumen,100,CN,1562801137,24,40.29,97.04,77.03,10.65
387,Tecpan,40,GT,1562801139,69,14.76,-90.99,75.2,6.93
388,Yulara,70,AU,1562801140,51,-25.24,130.99,39.2,1.12
389,Ulladulla,0,AU,1562801141,41,-35.36,150.48,57.99,19.46
390,Upernavik,7,GL,1562801142,82,72.79,-56.15,42.47,9.1
391,Dunedin,30,NZ,1562801143,58,-45.87,170.5,57.99,4.0
392,Labuhan,88,ID,1562800858,88,-2.54,115.51,73.97,0.54
393,Pandan,54,PH,1562801146,71,11.72,122.09,84.59,6.15
394,Tilichiki,3,RU,1562801147,59,60.47,166.1,66.95,6.42
395,Beloha,5,MG,1562801148,95,-25.17,45.06,60.47,2.24
396,Marawi,48,PH,1562801150,89,8.0,124.29,77.0,4.0
397,Osmena,21,PH,1562801151,76,12.17,124.59,82.07,6.04
398,Swift Current,40,CA,1562801152,57,50.29,-107.8,75.2,14.99
399,Jalu,0,LY,1562801153,30,29.03,21.55,84.59,8.66
400,Homer,75,US,1562801154,77,59.64,-151.54,64.99,9.17
401,Merauke,97,ID,1562801156,78,-8.49,140.4,75.59,17.4
402,Camaqua,100,BR,1562801020,83,-30.85,-51.81,57.59,3.78
403,Hudson Bay,64,CA,1562801158,41,52.86,-102.4,72.53,7.61
404,Ngunguru,0,NZ,1562800895,95,-35.62,174.5,59.0,1.01
405,Ushtobe,0,KZ,1562801161,30,45.25,77.98,72.35,17.69
406,Kutum,100,SD,1562801162,40,14.2,24.66,80.45,3.74
407,Hastings,28,NZ,1562800871,70,-39.64,176.84,56.33,6.62
408,Hokitika,98,NZ,1562801164,83,-42.72,170.96,52.37,7.83
409,Lodwar,66,KE,1562801165,50,3.12,35.6,81.53,13.51
410,Caconda,0,AO,1562801167,24,-13.73,15.06,48.77,3.2
411,Conversano,20,IT,1562801067,93,40.97,17.11,73.0,8.05
412,Beihai,40,CN,1562801169,78,38.95,121.19,79.0,6.71
413,Saint-Francois,0,FR,1562801170,59,46.42,3.91,60.8,2.91
414,Brufut,40,GM,1562801171,83,13.38,-16.75,80.6,9.17
415,Abeche,67,TD,1562801173,51,13.83,20.83,86.75,10.74
416,Shorewood,1,US,1562801174,45,43.09,-87.89,91.4,10.29
417,Bikaner,0,IN,1562801175,64,28.02,73.32,84.77,22.3
418,Podor,79,MR,1562801176,61,16.65,-14.96,77.57,16.24
419,Bichena,100,ET,1562801177,84,10.45,38.2,54.53,4.41
420,Lazaro Cardenas,75,MX,1562801179,30,28.39,-105.62,88.0,9.17
421,Panalingaan,78,PH,1562801180,70,8.78,117.42,83.87,5.77
422,Ashland,1,US,1562801153,58,38.48,-82.64,91.99,5.01
423,Garh Maharaja,0,PK,1562801182,37,30.83,71.9,95.93,22.21
424,Jitra,75,MY,1562801183,94,6.27,100.42,77.0,8.93
425,Kongolo,11,CD,1562801185,45,-5.39,27.0,73.07,3.6
426,Feicheng,94,CN,1562801186,60,36.18,116.77,77.93,4.12
427,Guaymas,20,MX,1562801187,30,27.92,-110.9,108.0,20.8
428,Vanimo,100,PG,1562801188,77,-2.67,141.3,80.27,5.95
429,Verkhnyaya Inta,100,RU,1562801190,92,65.99,60.32,57.05,12.26
430,Skovorodino,0,RU,1562801191,49,53.99,123.94,76.31,4.0
431,Selenginsk,25,RU,1562801192,72,52.01,106.87,64.4,3.13
432,Camocim,42,BR,1562801193,85,-2.9,-40.84,73.79,4.99
433,Half Moon Bay,1,US,1562801194,77,37.46,-122.43,79.0,12.75
434,Sitka,15,US,1562801196,58,37.17,-99.65,88.0,5.01
435,Phan Thiet,4,VN,1562801197,84,10.93,108.1,78.83,6.15
436,Cananeia,10,BR,1562801198,93,-25.01,-47.93,58.67,1.83
437,Harper,1,US,1562801199,49,30.3,-99.24,93.0,9.8
438,Broome,100,GB,1562801200,77,52.47,1.45,66.99,3.36
439,Jemnice,0,CZ,1562801202,76,49.02,15.57,55.0,8.05
440,Tangshan,1,CN,1562801203,67,39.63,118.17,75.23,5.7
441,Kavieng,96,PG,1562801204,72,-2.57,150.8,83.15,10.22
442,Kon Tum,100,VN,1562801205,98,14.36,108.0,70.55,0.54
443,Ostrovnoy,100,RU,1562801207,90,68.05,39.51,38.87,18.37
444,Lahij,97,YE,1562801208,52,13.06,44.88,87.47,2.82
445,Gabu,100,CN,1562801209,82,34.78,103.0,45.17,2.19
446,Manggar,100,ID,1562801211,85,-2.88,108.27,78.47,4.9
447,West Odessa,1,US,1562801212,19,31.84,-102.48,102.99,8.05
448,Bayanday,0,RU,1562801213,53,53.07,105.52,69.83,3.85
449,Isla Vista,0,US,1562801214,42,34.41,-119.86,86.0,11.41
450,Zhoucheng,0,CN,1562801215,100,31.35,119.33,69.8,4.47
451,Sao Joao da Barra,0,BR,1562801217,88,-21.64,-41.05,62.6,2.64
452,Soc Trang,20,VN,1562801218,94,9.6,105.98,77.0,2.24
453,Nuuk,75,GL,1562801219,87,64.17,-51.74,42.8,14.99
454,Tomatlan,0,MX,1562801220,69,19.93,-105.25,83.33,6.91
455,Barra da Estiva,13,BR,1562801221,87,-13.63,-41.33,59.21,7.99
456,Atikokan,100,CA,1562801223,81,48.76,-91.62,60.29,11.07
457,Mayor Pablo Lagerenza,0,PY,1562801224,48,-19.93,-60.77,74.51,4.07
458,Sisimiut,63,GL,1562801219,92,66.94,-53.67,40.85,7.18
459,Bronkhorstspruit,0,ZA,1562801226,59,-25.81,28.74,53.01,7.25
460,Sur,50,OM,1562801228,56,22.57,59.53,85.85,1.45
461,Conde,18,BR,1562801229,98,-11.81,-37.61,67.49,3.04
462,Kangaatsiaq,48,GL,1562801230,92,68.31,-53.46,42.65,11.56
463,Drogheda,75,IE,1562801231,87,53.71,-6.35,62.01,5.82
464,Mahibadhoo,100,MV,1562801233,62,3.78,72.97,84.23,5.79
465,Galesong,20,ID,1562801234,100,-5.32,119.37,69.8,2.24
466,Vrangel,100,RU,1562801235,59,42.73,133.08,68.93,2.57
467,Belyy Yar,0,RU,1562801236,87,53.6,91.39,59.0,4.47
468,Dongsheng,75,CN,1562801237,75,29.72,112.52,75.77,3.0
469,Puerto Colombia,40,CO,1562801239,79,10.99,-74.96,84.99,8.05
470,Umarizal,76,BR,1562801240,68,-5.99,-37.82,73.97,4.09
471,Hargeysa,86,SO,1562801241,59,9.56,44.06,71.27,26.93
472,Quatre Cocos,40,MU,1562801242,88,-20.21,57.76,69.8,2.24
473,Aden,84,YE,1562801017,56,12.79,45.03,89.27,2.84
474,Qaqortoq,14,GL,1562801245,54,60.72,-46.03,55.4,14.99
475,Storslett,28,NO,1562801246,85,69.77,21.03,46.25,1.25
476,Mutoko,0,ZW,1562801247,85,-17.4,32.23,48.23,2.64
477,Nicolas Bravo,75,MX,1562801248,38,24.39,-104.74,75.2,6.93
478,Linda,1,US,1562801250,33,39.13,-121.55,95.0,5.82
479,La Ciotat,0,FR,1562801251,53,43.17,5.6,78.01,5.82
480,Azangaro,0,PE,1562801252,12,-14.91,-70.2,51.8,9.17
481,Ixtapa,40,MX,1562801253,70,20.71,-105.21,87.8,14.99
482,Rafai,100,CF,1562801255,98,4.95,23.92,66.95,2.71
483,Kalmunai,100,LK,1562801256,81,7.42,81.82,77.75,3.53
484,Miyako,75,JP,1562801257,69,33.63,130.94,80.6,12.75
485,Havelock,40,US,1562801083,66,34.88,-76.9,87.01,10.29
486,Palmeirais,5,BR,1562801259,64,-5.97,-43.06,74.15,6.22
487,Solnechnyy,100,RU,1562801261,64,50.72,136.64,78.83,3.24
488,Lagoa,0,PT,1562801262,64,37.14,-8.45,73.99,4.7
489,Wanaka,30,NZ,1562801263,85,-44.7,169.14,44.01,3.06
490,Tranas,13,SE,1562801025,87,58.04,14.98,59.0,3.36
491,Namatanai,100,PG,1562801266,80,-3.66,152.44,79.55,17.94
492,Valer,0,ES,1562801267,43,41.76,-6.18,73.0,4.63
493,Dakar,20,SN,1562801192,83,14.69,-17.45,75.2,6.93
494,Kulachi,0,PK,1562801269,35,31.93,70.46,91.07,4.76
495,Picota,40,PE,1562801270,290,-6.92,-76.33,62.6,5.82
496,Caala,0,AO,1562801272,24,-12.85,15.56,46.79,1.52
497,Shagonar,100,RU,1562801273,79,51.54,92.92,61.01,1.3
498,Raudeberg,76,NO,1562801274,93,61.99,5.14,53.6,8.05
499,Cajaruro,31,PE,1562801275,83,-5.74,-78.43,61.73,1.92
500,Shangrao,4,CN,1562801276,89,28.45,117.97,75.23,3.36
501,Columbus,51,US,1562801278,66,32.46,-84.99,93.2,4.7
502,Mairi,48,BR,1562801279,97,-11.71,-40.15,62.09,4.32
503,Port Said,0,EG,1562801280,23,25.34,30.55,83.51,9.37
504,Hami,94,CN,1562801281,21,42.84,93.51,85.31,10.85
505,Mykhaylivka,0,UA,1562801282,72,47.27,35.22,60.8,10.6
506,Harbour Breton,51,CA,1562801284,80,47.48,-55.8,53.09,8.9
507,Estelle,0,FR,1562801285,36,43.97,3.47,77.0,5.82
508,Port Hawkesbury,75,CA,1562801286,71,45.62,-61.36,57.99,9.17
509,Tongliao,89,CN,1562801287,54,43.61,122.27,77.03,11.86
510,Sao Gabriel da Cachoeira,40,BR,1562801289,83,-0.13,-67.09,78.8,4.7
511,Salinas,20,US,1562801017,45,36.67,-121.66,87.01,17.22
512,Havre,1,US,1562801291,27,48.55,-109.68,86.0,13.87
513,Mogadishu,80,SO,1562801292,85,2.04,45.34,76.31,12.57
514,Camacha,40,PT,1562801294,77,33.08,-16.33,69.8,16.11
515,Denpasar,75,ID,1562801295,88,-8.65,115.22,75.2,4.7
516,Iwaki,75,JP,1562801296,82,37.05,140.89,60.8,3.36
517,Kununurra,55,AU,1562801297,42,-15.77,128.74,66.2,2.24
518,Katete,75,UG,1562801298,91,-0.78,29.75,61.19,2.59
519,Bosansko Grahovo,0,BA,1562801300,41,44.18,16.37,66.0,5.99
520,Pilar,86,AR,1562801301,82,-34.46,-58.91,57.2,3.36
521,Sobradinho,82,BR,1562801302,96,-29.41,-53.03,57.41,1.16
522,Smoky Lake,100,CA,1562801303,90,54.11,-112.47,62.01,4.83
523,Banda Aceh,98,ID,1562801103,75,5.56,95.32,83.15,6.58
524,Keetmanshoop,0,NA,1562801306,19,-26.57,18.15,60.8,11.41
525,Havoysund,75,NO,1562801307,76,71.0,24.66,50.0,5.82
526,Uruacu,0,BR,1562801308,30,-14.52,-49.14,69.11,5.73
527,Bulgan,57,MN,1562801310,84,48.81,103.53,62.27,2.15
528,Marovoay,0,MG,1562801311,83,-16.11,46.64,73.4,2.24
529,Great Yarmouth,91,GB,1562801312,77,52.61,1.73,66.99,3.36
530,Raymond Terrace,1,AU,1562801314,59,-32.76,151.75,63.0,7.0
531,Shache,0,CN,1562801315,43,38.42,77.24,74.51,3.0
532,Minot,1,US,1562801316,47,48.23,-101.3,77.0,10.29
533,Nacala,56,MZ,1562801318,83,-14.56,40.69,66.05,8.9
534,Destin,75,US,1562801319,88,30.39,-86.5,84.2,5.82
535,Coos Bay,90,US,1562801320,88,43.37,-124.22,79.0,10.29
536,Panama City,1,US,1562801218,88,30.16,-85.65,80.6,5.82
537,Skala Fourkas,40,GR,1562801323,73,40.0,23.38,71.6,13.87
538,Bembereke,32,BJ,1562801324,84,10.23,2.66,73.97,3.4
539,Harboore,0,DK,1562801325,93,56.62,8.18,57.0,3.36
540,San Quintin,78,PH,1562801326,77,17.54,120.52,80.81,3.22
541,Ust-Kuyga,100,RU,1562801328,50,70.0,135.55,75.41,4.83
542,Alofi,75,NU,1562801329,83,-19.06,-169.92,80.6,8.05
543,Ode,36,NG,1562801330,97,8.45,4.32,70.55,4.38
544,Haines Junction,68,CA,1562801331,26,60.75,-137.51,73.25,2.84
545,Polewali,96,ID,1562801332,72,-4.03,119.8,79.55,14.5
546,San Jose,40,HN,1562801334,29,14.25,-87.96,91.4,10.29
